1990s_빈도_1,1990s_빈도_2,1990s_빈도_3,1990s_빈도_4,1990s_빈도_5,1990s_빈도_6,1990s_빈도_7,1990s_빈도_8,1990s_빈도_9,1990s_빈도_10,2000s_빈도_1,2000s_빈도_2,2000s_빈도_3,2000s_빈도_4,2000s_빈도_5,2000s_빈도_6,2000s_빈도_7,2000s_빈도_8,2000s_빈도_9,2000s_빈도_10,2010s_빈도_1,2010s_빈도_2,2010s_빈도_3,2010s_빈도_4,2010s_빈도_5,2010s_빈도_6,2010s_빈도_7,2010s_빈도_8,2010s_빈도_9,2010s_빈도_10,2020s_빈도_1,2020s_빈도_2,2020s_빈도_3,2020s_빈도_4,2020s_빈도_5,2020s_빈도_6,2020s_빈도_7,2020s_빈도_8,2020s_빈도_9,2020s_빈도_10
"('거', 4)","('외로움', 2)","('곁', 2)","('시절', 2)","('사랑', 2)","('세월', 2)","('눈물', 2)","('뒷모습', 1)","('순간', 1)","('이별', 1)","('하늘', 6)","('세상', 3)","('뿐', 3)","('숨', 3)","('눈물', 3)","('꿈', 3)","('말', 2)","('곳', 1)","('사람', 1)","('눈빛', 1)","('여자', 7)","('남자', 6)","('번', 6)","('말', 4)","('뒤', 3)","('사실', 2)","('온종일', 1)","('전화기', 1)","('문자', 1)","('자존심', 1)",,,,,,,,,,
"('날', 8)","('사랑', 5)","('추억', 3)","('내 사랑', 3)","('눈물', 2)","('이제', 2)","('삶', 2)","('간직', 2)","('채', 2)","('아냐', 2)","('이름', 8)","('설레임', 4)","('여행', 4)","('중', 4)","('좌절', 4)","('오래전', 4)","('영원', 4)","('최고', 2)","('정상', 2)","('끝', 2)","('Boom Clap', 18)","('맘', 5)","('말', 4)","('내', 4)","('꺼', 4)","('틈', 3)","('티', 3)","('사이', 2)","('여자', 2)","('게', 2)",,,,,,,,,,
"('힘', 7)","('숨', 4)","('앞으로', 4)","('길', 4)","('가야', 4)","('이차', 2)","('쯤', 1)","('걱정', 1)","('마', 1)","('이제', 1)","('제주도', 4)","('푸른', 3)","('밤', 3)","('아래', 3)","('바다', 3)","('이서', 2)","('이제', 1)","('신문', 1)","('월급봉투', 1)","('아파트', 1)","('빵', 18)","('끝장', 6)","('밤', 5)","('오늘', 5)","('마라', 4)","('남자들', 3)","('여자', 3)","('불', 2)","('심장', 2)","('점', 2)",,,,,,,,,,
"('기억', 4)","('행복', 4)","('모습', 3)","('여자', 3)","('날', 2)","('사람', 2)","('사랑', 2)","('다음번', 2)","('용서', 1)","('너에게', 1)","('후회', 4)","('말', 4)","('모습', 3)","('사랑', 2)","('꺼', 2)","('마지막', 2)","('너를 보내고', 2)","('뒤', 2)","('지금', 2)","('라고', 1)","('사랑', 2)","('속', 2)","('기억', 2)","('아무말도 하지마요', 2)","('거', 2)","('날', 2)","('이해', 1)","('사람', 1)","('곁', 1)","('모습', 1)",,,,,,,,,,
"('사랑', 6)","('상상', 5)","('속', 5)","('생각', 4)","('순간', 4)","('떡', 4)","('그대에게', 4)","('말', 4)","('맘', 4)","('눈길', 4)","('이여', 10)","('꿈', 9)","('눈', 7)","('사람', 4)","('물거품', 4)","('밤', 3)","('사랑', 3)","('이름', 2)","('모습', 2)","('오늘', 2)","('집', 3)","('아침', 3)","('거', 2)","('이 노래', 2)","('피곤', 2)","('점심', 2)","('밥', 2)","('사랑', 2)","('날', 2)","('안녕', 1)",,,,,,,,,,
"('눈물', 6)","('사람', 6)","('속', 4)","('축복', 4)","('이제', 3)","('마지막', 3)","('모습', 3)","('이유', 3)","('날', 3)","('준비', 2)","('행복', 5)","('사랑', 4)","('미련', 4)","('이제', 3)","('내사랑', 3)","('마지막 인사', 3)","('말', 3)","('내 사랑', 2)","('거', 2)","('죄', 1)","('나나', 8)","('넌', 8)","('말', 6)","('거', 4)","('날', 4)","('밤', 3)","('밤잠', 3)","('잠', 2)","('그날', 2)","('얘기', 2)",,,,,,,,,,
"('사랑', 3)","('날', 3)","('앞', 2)","('우리들의', 2)","('약속', 2)","('후회', 2)","('하늘', 2)","('그날', 2)","('사람', 1)","('축복', 1)","('날', 4)","('말', 4)","('눈', 3)","('겁쟁이', 3)","('사랑해줘요', 2)","('숨', 2)","('미련', 2)","('사람', 1)","('듯', 1)","('사랑합니다', 1)","('거', 10)","('위', 6)","('비', 6)","('편', 6)","('비틀', 4)","('하루살이', 3)","('세상', 3)","('다리', 2)","('오늘', 2)","('의미', 2)",,,,,,,,,,
"('사바', 21)","('거', 10)","('말', 8)","('사랑', 8)","('기분', 7)","('천사', 5)","('착각', 5)","('시작', 5)","('외로움', 5)","('끝', 5)","('사람', 7)","('가슴', 4)","('모습', 4)","('사랑했나봐', 2)","('생각', 2)","('후회', 2)","('설', 2)","('레어', 2)","('기억', 2)","('계절', 2)","('속', 10)","('외톨이', 8)","('거울', 8)","('척', 4)","('겁쟁이', 4)","('양아치', 4)","('넌', 4)","('상처', 4)","('뿐', 4)","('머저리', 4)",,,,,,,,,,
"('살다보면', 4)","('오늘', 4)","('날', 2)","('번', 2)","('사랑', 2)","('하루하루', 2)","('근심', 2)","('걱정', 2)","('자유', 2)","('내일', 2)","('살다가', 12)","('게', 3)","('슬픔', 3)","('대', 2)","('사랑해', 2)","('말', 2)","('내색', 2)","('잠', 2)","('순간', 2)","('정', 2)","('넌', 7)","('찹쌀떡', 4)","('궁합', 4)","('눈', 3)","('지금', 2)","('이기', 2)","('날', 2)","('모습', 2)","('여야', 2)","('완전', 2)",,,,,,,,,,
"('세상', 3)","('위', 3)","('오늘', 3)","('에드', 3)","('벨', 3)","('남자', 3)","('여자', 3)","('바퀴', 2)","('한숨', 2)","('머리', 2)","('눈', 5)","('날', 4)","('번', 3)","('세상', 2)","('절대', 2)","('눈물', 2)","('하루', 1)","('기억', 1)","('사람', 1)","('그리움', 1)","('마음', 4)","('걱정', 4)","('나나', 4)","('라면', 2)","('말', 2)","('인사', 1)","('사실', 1)","('사람', 1)","('이야기', 1)","('사실 나는', 1)",,,,,,,,,,
